DEPTH_MD,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,BS,ROP,DRHO,FACIES
735.1867988,13.30576801,,1.173533559,1.168746352,,95.06991577,0.10690254,,,,9.875,28.76355362,,1
735.3387988,13.38221359,,1.173070312,1.168229222,,93.82260132,0.108548522,,,,9.875,28.81040001,,1
735.4907988,13.44800949,,1.166864634,1.160968185,,92.68012238,0.114742063,,,,9.875,28.9973259,,1
735.6427988,13.30915451,,1.158761144,1.150310636,,93.56885529,0.120261088,,,,9.875,29.19146919,,1
735.7947988,13.25479221,,1.157356739,1.146551371,,95.20671082,0.124737576,,,,9.875,29.25341034,,1
735.9467988,13.24028683,,1.154764652,1.14525485,,96.69472504,0.122628443,,,,9.875,29.18200684,,1
736.0987988,13.32353401,,1.143703818,1.13765645,,96.12835693,0.128281385,,,,9.875,29.11908341,,1
736.2507988,13.33189583,,1.137085438,1.132374048,,94.55188751,0.123682983,,,,9.875,29.36123848,,1
736.4027988,13.29010296,,1.132189035,1.125647664,,95.20755005,0.116801441,,,,9.875,29.63912964,,1
736.5547988,13.3259573,,1.122174978,1.116092801,,96.09075928,0.112406083,,,,9.875,30.24975014,,1
736.7067988,13.28293419,,1.114017963,1.107061863,,94.5814743,0.106089748,,,,9.875,31.39731407,,1
736.8587988,13.28809071,,1.106337905,1.097913146,,92.18979645,0.073340289,,,,9.875,32.15843582,,1
737.0107988,13.32291126,,1.099676251,1.090096474,,89.62741852,0.0537409,,,,9.875,32.64105606,,1
737.1627988,13.3134861,,1.100936532,1.092801929,,87.58335114,0.042467244,,,,9.875,32.87353134,,1
737.3147988,13.34587002,,1.103607059,1.095644236,,89.25054932,0.070798643,,,,9.875,33.37828445,,1
737.4667988,13.36973858,,1.106232524,1.095999956,,93.86761475,0.089176066,,,,9.875,34.01073456,,1
737.6187988,13.44859409,,1.107169867,1.099840045,,96.26702118,0.108754948,,,,9.875,34.74053192,,1
737.7707988,13.37692833,,1.10393095,1.097465873,,95.71951294,0.107605726,,,,9.875,34.99793625,,1
737.9227988,13.41102028,,1.108389497,1.098471522,,96.27128601,0.095346794,,,,9.875,35.19031143,,1
738.0747988,13.42113686,,1.109136343,1.100804329,,98.50257111,0.095396265,,,,9.875,35.32373047,,1
738.2267988,13.42815685,,1.108712554,1.10074997,,98.83667755,0.100675389,,,,9.875,24.77980995,,1
738.3787988,13.59211254,,1.11129725,1.101938367,,96.03640747,0.107231408,,,,9.875,19.78028297,,1
738.5307988,13.41706276,,1.115129113,1.109763742,,92.66963196,0.108613059,,,,9.875,19.55700111,,1
738.6827988,13.2243185,,1.119050503,1.113915563,,91.70114136,0.110578619,,,,9.875,19.59980583,,1
738.8347988,13.31649113,,1.114072084,1.109426022,,94.75272369,0.112512335,,,,9.875,19.65022278,,1
738.9867988,13.2811327,,1.092751861,1.085783839,,98.79384613,0.110943764,,,,9.875,19.77157402,,1
739.1387988,13.2460928,,1.069047928,1.060849547,,100.6081238,0.106707007,,,,9.875,19.8445816,,1
739.2907988,13.23359299,,1.064544439,1.057180762,,103.7391586,0.103962049,,,,9.875,19.89162254,,1
739.4427988,13.33947659,,1.071100473,1.065500617,,109.2714005,0.101333149,,,,9.875,19.94630051,,1
739.5947988,13.482831,,1.072703838,1.069729686,,113.0526352,0.10295628,,,,9.875,20.04720306,,1
739.7467988,13.42272282,,1.089198351,1.08733058,,113.8446579,0.112699963,,,,9.875,30.24468422,,1
739.8987988,13.51350689,,1.127346516,1.12758863,,112.8887253,0.126156747,,,,9.875,35.875103,,1
740.0507988,13.50519943,,1.160642862,1.158662319,,111.4206696,0.136739314,,,,9.875,36.43885422,,1
740.2027988,13.40952396,,1.178790808,1.174437404,,111.0385284,0.128560722,,,,9.875,36.31137466,,1
740.3547988,13.8456831,,1.19140482,1.18572855,,110.4930649,0.114400037,,,,9.875,35.95617294,,1
740.5067988,13.60046196,,1.210996032,1.205832958,,108.8049393,0.110648133,,,,9.875,35.04911423,,1
740.6587988,13.45897198,,1.232596874,1.22812593,,109.1524277,0.125652358,,,,9.875,34.12062454,,1
740.8107988,13.42247009,,1.236364484,1.231900215,,110.3717804,0.12347912,,,,9.875,33.57186508,,1
740.9627988,13.13028812,,1.222941041,1.218889117,,108.094429,0.095010065,,,,9.875,33.1468544,,1
741.1147988,12.88242436,,1.211589217,1.207980514,,104.2722931,0.074227929,,,,9.875,32.53234863,,1
741.2667988,12.78916454,,1.214326739,1.21247828,,102.6137009,0.067794234,,,,9.875,31.60865021,,1
741.4187988,12.74150085,,1.229456067,1.228682637,,103.6051407,0.092193745,,,,9.875,31.08465576,,1
741.5707988,12.66837311,,1.238100886,1.237463832,,107.125,0.136733323,,,,9.875,30.59910393,-0.115128301,1
741.7227988,12.56877804,,1.245435596,1.24282825,,112.2198334,0.193656355,,,,9.875,30.32759476,-0.012861619,1
741.8747988,12.49568176,,1.258756876,1.255768895,,115.0778122,0.187430009,,,,9.875,30.62745285,0.003932008,1
742.0267988,12.45232678,,1.288072825,1.285821676,,112.2729416,0.154610395,,,,9.875,31.22313309,-0.000214519,1
742.1787988,12.44134426,,1.32605803,1.323400617,,110.2394562,0.155037522,,,,9.875,31.71888542,0.002219319,1
742.3307988,12.97595024,,1.346149921,1.344568253,,112.9289398,0.166079968,,,,9.875,31.82523727,0.009876626,1
742.4827988,13.36637402,,1.357766271,1.354610205,,117.3075714,0.178203106,,,,9.875,32.04706192,0.012864982,1
742.6347988,13.71237087,,1.378978491,1.373055816,,121.6861572,0.152498812,,,,9.875,32.66632462,0.019786431,1
742.7867988,15.40319061,,1.385121822,1.378239155,,126.0647583,0.148547813,,,,9.875,33.23233795,0.021208698,1
742.9387988,17.23027229,,1.368561149,1.361742854,,130.4433899,0.197162285,,,,9.875,33.14553833,0.009991223,1
743.0907988,17.68842888,,1.349238396,1.341572642,,135.2900543,0.261758179,,,,9.875,32.98827744,-0.016021438,1
743.2427988,17.39221382,,1.321400404,1.310996532,,137.9069977,0.348513901,,,,9.875,32.56729507,-0.046732705,1
743.3947988,17.13756561,,1.272030234,1.261965871,,139.0631867,0.315307677,,,,9.875,31.63680649,-0.064823344,1
743.5467988,16.94313622,,1.276720405,1.268177986,,141.2647095,0.304906756,,,,9.875,30.7239666,-0.066757157,1
743.6987988,17.28136253,,1.308100462,1.297190547,,146.9309082,0.298498243,,145.5487671,,9.875,29.79103661,-0.064684786,1
743.8507988,17.45323944,,1.337776303,1.324367642,,152.4056702,0.323181242,,144.3892822,,9.875,28.68741989,-0.066998221,1
744.0027988,17.20111847,,1.395218968,1.381260276,,151.2149048,0.330622554,,143.7777405,,9.875,26.57551003,-0.06921149,1
744.1547988,16.99092102,,1.45558846,1.442758918,,143.4992981,0.387746036,,144.0031891,,9.875,24.53231239,-0.070436306,1
744.3067988,16.82484818,,1.482151628,1.472481728,,135.8439941,0.397925347,,144.0966797,,9.875,23.35606575,-0.06376005,1
744.4587988,16.64437485,,1.472652674,1.461579323,,136.9087982,0.507820845,,144.1849976,,9.875,22.40605736,-0.057514206,1
744.6107988,16.41874695,,1.453733563,1.442626953,,146.2427979,0.492581278,,145.421051,,9.875,21.89632416,-0.055876441,1
744.7627988,16.82995224,,1.436745048,1.42730248,,152.4355927,0.466037929,,146.7191162,,9.875,21.85669327,-0.059451804,1
744.9147988,16.84304428,,1.402706027,1.39444983,,152.2150726,0.417135894,,147.7701111,,9.875,21.68128204,-0.064258546,1
745.0667988,16.39114952,,1.366063833,1.361908555,,153.3719482,0.413392127,,148.7134857,,9.875,21.392313,-0.064190708,1
